close,return,realreturn,direction,future_direction,lag1,lag2,lag3,lag4,lag5,result,up,uptotal,rsi
238.66,-0.001507285,-0.36,-1,1,2,2,2,2,1,0.36,0,0,72.56699577
239.43,0.003221154,0.77,1,-1,1,2,2,2,2,0.77,1,0.77,84.88104375
238.25,-0.004940556,-1.18,-1,1,2,1,2,2,2,1.18,0,0,72.51308901
239.17,0.003854054,0.92,1,1,1,2,1,2,2,0.92,1,0.92,79.84429066
239.77,0.002505534,0.6,1,-1,2,1,2,1,2,0.6,1,0.6,85.03460208
237.65,-0.008881127,-2.12,-1,1,2,2,1,2,1,2.12,0,0,69.02654867
238.03,0.001597713,0.38,1,-1,0,2,2,1,2,0.38,1,0.38,65.92920354
236.37,-0.006998342,-1.66,-1,-1,2,0,2,2,1,1.66,0,0,55.56451613
235.06,-0.005557573,-1.31,-1,-1,1,2,0,2,2,1.31,0,0,44.1898527
232.87,-0.009360443,-2.19,-1,1,1,1,2,0,2,2.19,0,0,37.97468354
235.37,0.010678386,2.5,1,-1,0,1,1,2,0,2.5,1,2.5,44.17721519
234.2,-0.004983293,-1.17,-1,-1,3,0,1,1,2,1.17,0,0,40.4293381
234.18,-8.54E-05,-0.02,-1,1,1,3,0,1,1,0.02,0,0,35.37766301
234.49,0.001322893,0.31,1,1,1,1,3,0,1,0.31,1,0.31,35.37766301
236.45,0.008323826,1.96,1,1,2,1,1,3,0,1.96,1,1.96,43.53423054
237.06,0.002576505,0.61,1,1,3,2,1,1,3,0.61,1,0.61,43.00059067
239.78,0.011408563,2.72,1,-1,2,3,2,1,1,2.72,1,2.72,54.14185165
237.93,-0.007745324,-1.85,-1,1,3,2,3,2,1,1.85,0,0,46.80412371
239.87,0.008120597,1.94,1,-1,1,3,2,3,2,1.94,1,1.94,50.24108004
238.3,-0.006566726,-1.57,-1,1,3,1,3,2,3,1.57,0,0,51.60970778
239.5,0.005023033,1.2,1,-1,1,3,1,3,2,1.2,1,1.2,53.49833413
236.79,-0.011379744,-2.71,-1,1,2,1,3,1,3,2.71,0,0,50.95194923
237.3,0.002151491,0.51,1,-1,0,2,1,3,1,0.51,1,0.51,55.26810913
231.47,-0.024874888,-5.83,-1,-1,2,0,2,1,3,5.83,0,0,47.18875502
